host,login_prompt_found,login_prompt,error
172.65.228.92,False,,ERR:[Errno 104] Connection reset by peer
172.65.246.67,False,,ERR:[Errno 104] Connection reset by peer
136.110.165.162,False,,
136.110.206.89,False,,
172.65.134.5,False,,ERR:[Errno 104] Connection reset by peer
34.111.199.195,False,,ERR:[Errno 104] Connection reset by peer
34.36.241.180,False,,ERR:[Errno 104] Connection reset by peer
34.36.211.28,False,,ERR:[Errno 104] Connection reset by peer
34.96.111.152,False,,ERR:[Errno 104] Connection reset by peer
34.49.6.105,False,,ERR:[Errno 104] Connection reset by peer
34.49.55.47,False,,ERR:[Errno 104] Connection reset by peer
144.76.118.99,False,,ERR:[Errno 104] Connection reset by peer
34.43.191.246,False,,
34.43.72.65,False,,ERR:[Errno 104] Connection reset by peer
13.38.65.194,True,Login: Password:,
185.150.27.84,False,,ERR:[Errno 104] Connection reset by peer
194.108.159.173,False,,
159.69.28.209,False,,
62.209.236.205,False,,
185.25.188.3,False,,
84.33.95.70,False,,
2.119.14.113,False,,ERR:[Errno 104] Connection reset by peer
2.136.105.107,False,,
212.193.33.137,False,,
84.243.112.129,False,,ERR:[Errno 104] Connection reset by peer
85.134.89.219,False,,ERR:[Errno 104] Connection reset by peer
77.45.21.70,False,,
159.108.174.246,False,,ERR:[Errno 104] Connection reset by peer
88.84.203.45,False,,
91.177.35.69,False,,ERR:[Errno 104] Connection reset by peer
93.67.147.83,True,ETI/Xip login:,
88.132.244.94,False,,
78.37.172.102,True,Login:,
159.60.234.227,False,,ERR:[Errno 104] Connection reset by peer
5.185.79.113,True,Login: Password:,
138.84.40.207,False,,ERR:[Errno 104] Connection reset by peer
102.165.173.193,False,,ERR:[Errno 104] Connection reset by peer
106.41.203.254,True,Username:,
152.112.139.137,False,,ERR:[Errno 104] Connection reset by peer
102.23.146.238,False,,ERR:[Errno 104] Connection reset by peer
181.49.191.9,False,,ERR:[Errno 104] Connection reset by peer
179.154.182.32,False,,ERR:[Errno 104] Connection reset by peer
200.72.2.177,False,,ERR:[Errno 104] Connection reset by peer
165.12.201.151,False,,ERR:[Errno 104] Connection reset by peer
118.165.67.109,False,,ERR:[Errno 104] Connection reset by peer
119.199.246.75,False,,ERR:[Errno 104] Connection reset by peer
103.3.12.173,False,,
177.130.207.244,True,PX3321-T1 login:,
138.113.202.221,False,,ERR:[Errno 104] Connection reset by peer
177.194.178.249,False,,ERR:[Errno 104] Connection reset by peer
119.197.185.43,False,,ERR:[Errno 104] Connection reset by peer
179.119.7.226,False,,
39.91.21.112,True,Username:,
92.203.139.249,False,,
182.183.130.211,True,username:password:,
42.84.63.19,True,ralink login:,
221.207.232.198,True,Username:,
191.61.113.229,False,,ERR:[Errno 104] Connection reset by peer
191.61.3.237,False,,ERR:[Errno 104] Connection reset by peer
191.61.91.89,False,,ERR:[Errno 104] Connection reset by peer
163.18.67.48,False,,ERR:[Errno 104] Connection reset by peer
164.138.118.202,False,,
13.248.159.148,False,,TimeoutError
5.190.33.38,False,,TimeoutError
134.220.228.78,False,,TimeoutError
75.2.54.141,False,,TimeoutError
134.28.219.11,False,,TimeoutError
177.87.110.227,False,,TimeoutError
41.225.196.93,False,,TimeoutError
57.129.70.199,False,,TimeoutError
134.220.223.140,False,,TimeoutError
198.99.68.119,False,,TimeoutError
147.127.125.244,False,,TimeoutError
213.243.15.16,False,,TimeoutError
5.253.143.198,False,,TimeoutError
137.132.136.101,False,,TimeoutError
64.234.40.65,False,,TimeoutError
200.91.131.121,False,,TimeoutError
103.44.238.103,False,,TimeoutError
102.71.9.82,False,,TimeoutError
166.104.30.213,False,,TimeoutError
192.186.11.168,False,,TimeoutError
219.248.78.149,False,,TimeoutError
47.88.144.249,False,,TimeoutError
172.65.2.250,False,,ERR:[Errno 104] Connection reset by peer
136.110.216.207,False,,
172.65.191.125,False,,ERR:[Errno 104] Connection reset by peer
172.65.92.67,False,,ERR:[Errno 104] Connection reset by peer
172.65.74.104,False,,ERR:[Errno 104] Connection reset by peer
172.65.38.202,False,,ERR:[Errno 104] Connection reset by peer
150.40.117.2,False,,ERR:[Errno 104] Connection reset by peer
192.145.49.22,False,,ERR:[Errno 104] Connection reset by peer
193.77.155.15,False,,
194.116.11.49,False,,ERR:[Errno 104] Connection reset by peer
2.248.82.42,False,,ERR:[Errno 104] Connection reset by peer
178.205.78.218,True,Username:,
129.85.5.211,False,,ERR:[Errno 104] Connection reset by peer
129.85.183.100,False,,ERR:[Errno 104] Connection reset by peer
129.85.42.16,False,,ERR:[Errno 104] Connection reset by peer
129.85.238.196,False,,ERR:[Errno 104] Connection reset by peer
204.16.33.93,False,,ERR:[Errno 104] Connection reset by peer
129.85.104.246,False,,ERR:[Errno 104] Connection reset by peer
129.85.236.214,False,,ERR:[Errno 104] Connection reset by peer
129.85.106.234,False,,ERR:[Errno 104] Connection reset by peer
129.85.59.86,False,,ERR:[Errno 104] Connection reset by peer
129.85.6.205,False,,ERR:[Errno 104] Connection reset by peer
2.135.243.237,True,Username:,
146.103.66.145,False,,ERR:[Errno 104] Connection reset by peer
199.115.98.94,False,,ERR:[Errno 104] Connection reset by peer
153.43.13.109,False,,ERR:[Errno 104] Connection reset by peer
117.5.231.191,False,,ERR:[Errno 104] Connection reset by peer
159.60.236.122,False,,ERR:[Errno 104] Connection reset by peer
212.76.101.134,False,,
187.164.42.130,False,,
190.109.214.85,False,,ERR:[Errno 104] Connection reset by peer
190.83.19.164,False,,
137.195.232.18,False,,ERR:[Errno 104] Connection reset by peer
121.200.63.105,False,,ERR:[Errno 104] Connection reset by peer
138.113.105.232,False,,ERR:[Errno 104] Connection reset by peer
23.227.33.96,False,,
179.42.153.160,True,Username:,
23.227.51.45,False,,ERR:[Errno 104] Connection reset by peer
34.102.144.73,False,,ERR:[Errno 104] Connection reset by peer
34.110.168.92,False,,
110.49.92.146,True,Username:,
34.111.12.49,False,,
34.117.119.88,False,,ERR:[Errno 104] Connection reset by peer
34.117.131.210,False,,
34.13.119.180,False,,
34.149.190.118,False,,ERR:[Errno 104] Connection reset by peer
34.149.45.124,False,,ERR:[Errno 104] Connection reset by peer
213.151.40.80,False,,
